# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Oct  5 01:45:43 2024
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN disc_telescope: Discovery Telescope
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_dens:        Stellar Density [g/cm**3]
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_vmag:        V (Johnson) Magnitude
#
pl_name,hostname,discoverymethod,disc_year,disc_facility,disc_telescope,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_orbincl,st_spectype,st_teff,st_rad,st_mass,st_lum,st_dens,rastr,ra,decstr,dec,sy_dist,sy_vmag
24 Sex c,24 Sex,Radial Velocity,2010,Lick Observatory,3.0 m C. Donald Shane Telescope,883.00000000,2.080000,13.900,273.32000,0.559000,0.290000,,K0 IV,5098.00,4.90,1.54,1.164,,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691000,6.4535000
2M0437 b,2MASS J04372171+2651014,Imaging,2021,Subaru Telescope,8.2 m Subaru Telescope,,118.000000,13.000,1271.31363,3.180000,,,M V,3100.00,0.84,0.17,-1.164,3.32018,04h37m21.73s,69.3405531,+26d51m01.08s,26.8502997,128.4840000,16.1860000
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,Imaging,2013,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,,84.000000,12.300,4131.79000,12.200000,,,M5.5/M6,,,0.19,,,01h03m35.82s,15.8992489,-55d15m56.98s,-55.2658291,47.2000000,15.7880000
2MASS J01225093-2439505 b,2MASS J01225093-2439505,Imaging,2013,W. M. Keck Observatory,10 m Keck II Telescope,,52.000000,11.209,7786.50000,30.400000,,,M3.5 V,3530.00,0.37,0.40,-1.720,10.11868,01h22m51.07s,20.7128012,-24d39m52.61s,-24.6646128,33.8281000,14.2440000
2MASS J02192210-3925225 b,2MASS J02192210-3925225,Imaging,2015,Cerro Tololo Inter-American Observatory,1.5 m CTIO Telescope,,156.000000,16.141,4417.83700,5.770000,,,M6,3064.00,0.28,0.11,-2.230,17.67076,02h19m22.25s,34.8427046,-39d25m23.08s,-39.4230767,40.0896412,
2MASS J0249-0557 c,2MASS J0249-0557 A,Imaging,2018,Mauna Kea Observatory,3.58 m Canada-France-Hawaii Telescope (CFHT),,1950.000000,12.400,3686.80952,10.600000,,,M6 V,2859.00,0.32,0.05,-2.590,13.18121,02h49m56.44s,42.4851627,-05d57m35.97s,-5.9599921,66.0613000,18.3000000
2MASS J03590986+2009361 b,2MASS J03590986+2009361,Imaging,2024,European Space Agency (ESA) Gaia Satellite,1.45 m x 0.5 m Telescope,,572.000000,12.200,5720.91133,17.300000,,,,2943.00,0.29,0.26,-2.246,15.35385,03h59m09.86s,59.7911026,+20d09m35.91s,20.1599759,117.4350000,
2MASS J04414489+2301513 b,2MASS J04414489+2301513,Imaging,2010,Hubble Space Telescope,2.4 m Hubble Space Telescope,,15.000000,12.600,2383.60000,6.550000,,,M8.5,2936.00,0.23,0.02,-2.444,22.78110,04h41m44.91s,70.4371079,+23d01m51.08s,23.0308544,120.4239870,
2MASS J11011926-7732383 b,2MASS J11011926-7732383,Imaging,2024,European Space Agency (ESA) Gaia Satellite,1.45 m x 0.5 m Telescope,,266.000000,11.900,8899.19540,29.000000,,,,,,,,,11h01m19.09s,165.3295388,-77d32m38.73s,-77.5440912,,
2MASS J11550485-7919108 b,2MASS J11550485-7919108,Imaging,2024,European Space Agency (ESA) Gaia Satellite,1.45 m x 0.5 m Telescope,,587.000000,12.100,6356.56814,19.700000,,,,3021.00,0.60,0.59,-1.568,3.83213,11h55m04.60s,178.7691634,-79d19m11.12s,-79.3197558,100.8620000,16.9570000
2MASS J12073346-3932539 b,2MASS J12073346-3932539,Imaging,2004,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,,55.000000,12.900,1589.15000,4.070000,,,M8,2825.00,0.22,0.02,-2.561,25.27945,12h07m33.38s,181.8890906,-39d32m54.38s,-39.5484399,64.3080000,20.1500000
2MASS J19383260+4603591 b,2MASS J19383260+4603591,Eclipse Timing Variations,2015,Kepler,0.95 m Kepler Telescope,406.00000000,0.920000,13.400,603.87700,1.380000,0.330000,,,29564.00,0.20,0.48,1.450,,19h38m32.62s,294.6359173,+46d03m59.07s,46.0664076,396.3320000,12.6510000
2MASS J21252752-8138278 b,2MASS J21252752-8138278,Imaging,2024,European Space Agency (ESA) Gaia Satellite,1.45 m x 0.5 m Telescope,,7493.000000,12.400,3813.94088,11.000000,,,,3592.00,0.67,0.64,-1.168,2.98068,21h25m27.91s,321.3662989,-81d38m29.36s,-81.6414894,34.1154000,11.8040000
2MASS J22362452+4751425 b,2MASS J22362452+4751425,Imaging,2016,W. M. Keck Observatory,10 m Keck II Telescope,,230.000000,12.300,3972.87500,11.700000,,,K7 V,4045.00,0.64,0.60,-1.021,3.36994,22h36m24.62s,339.1025931,+47d51m42.06s,47.8616830,69.5737000,12.3680000
30 Ari B b,30 Ari B,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,335.10001000,0.990000,12.300,4392.41060,13.000000,0.290000,,F6 V,6331.00,1.41,1.93,0.381,0.74300,02h36m57.91s,39.2412736,+24d38m52.84s,24.6480103,44.6570000,7.0920900
4 UMa b,4 UMa,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,270.27000000,0.877000,12.600,2511.48007,6.900000,0.453000,,K1 III,4415.00,18.11,1.23,2.062,,08h40m12.67s,130.0528099,+64d19m40.98s,64.3280504,73.4603000,4.5801000
42 Dra b,42 Dra,Radial Velocity,2008,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,479.10000000,1.190000,13.000,1233.13000,3.080000,0.380000,,K1.5 III,4200.00,22.03,0.98,2.155,,18h25m59.40s,276.4975053,+65d33m48.11s,65.5633652,90.6545000,4.8262000
47 UMa b,47 UMa,Radial Velocity,1996,Lick Observatory,3.0 m C. Donald Shane Telescope,1078.00000000,2.100000,13.200,804.08000,1.920000,0.032000,,G0 V,5872.00,1.21,1.06,0.198,0.83662,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967000,5.0335200
47 UMa c,47 UMa,Radial Velocity,2001,Lick Observatory,3.0 m C. Donald Shane Telescope,2391.00000000,3.600000,14.200,171.62100,0.329000,0.098000,,G1 V,5872.00,1.21,1.06,0.198,0.83662,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967000,5.0335200
47 UMa d,47 UMa,Radial Velocity,2009,Lick Observatory,3.0 m C. Donald Shane Telescope,14002.00000000,11.600000,13.500,521.22000,1.160000,0.160000,,G0V,5872.00,1.21,1.06,0.198,0.83662,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967000,5.0335200
51 Eri b,51 Eri,Imaging,2015,Gemini Observatory,8.19 m Gemini South Telescope,11688.00000000,13.200000,13.400,635.66000,1.450000,0.450000,133.000,F0 IV,7295.00,1.49,1.75,0.850,0.70712,04h37m36.18s,69.4007424,-02d28m25.77s,-2.4738245,29.7575000,5.2114900
51 Peg b,51 Peg,Radial Velocity,1995,Haute-Provence Observatory,1.93 m Telescope,4.23078500,0.052700,14.300,146.20180,0.275000,0.013000,80.000,G5V,5758.00,1.18,1.03,0.136,0.89374,22h57m28.21s,344.3675399,+20d46m08.74s,20.7690958,15.4614000,5.4530900
55 Cnc b,55 Cnc,Radial Velocity,1996,Lick Observatory,3.0 m C. Donald Shane Telescope,14.65160000,0.113400,13.900,263.97850,0.540000,0.000000,89.730,K0 IV-V,5172.00,0.94,0.91,-0.197,1.41851,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000,5.9508400
55 Cnc c,55 Cnc,Radial Velocity,2004,McDonald Observatory,9.2 m Hobby-Eberly Telescope,44.39890000,0.237300,8.510,54.47380,0.486000,0.030000,89.730,G8V,5172.00,0.94,0.91,-0.197,1.41851,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000,5.9508400
55 Cnc d,55 Cnc,Radial Velocity,2002,Lick Observatory,3.0 m C. Donald Shane Telescope,5574.20000000,5.957000,13.000,1232.49300,3.080000,0.130000,89.730,G8 V,5172.00,0.94,0.91,-0.197,1.41851,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000,5.9508400
55 Cnc e,55 Cnc,Radial Velocity,2004,McDonald Observatory,9.2 m Hobby-Eberly Telescope,0.73654740,0.015440,1.875,7.99000,6.660000,0.050000,83.590,G8 V,5172.00,0.94,0.91,-0.197,1.52120,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000,5.9508400
55 Cnc f,55 Cnc,Radial Velocity,2007,Multiple Observatories,Multiple Telescopes,259.88000000,0.770800,7.590,44.81200,0.563000,0.080000,89.730,G8V,5172.00,0.94,0.91,-0.197,1.41851,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000,5.9508400
6 Lyn b,6 Lyn,Radial Velocity,2008,Okayama Astrophysical Observatory,1.88 m Telescope,919.86000000,2.028000,13.400,597.83523,1.370000,0.042000,,K0 IV,4941.00,4.94,1.32,1.119,,06h30m47.05s,97.6960311,+58d09m40.23s,58.1611753,54.6599000,5.8730700
61 Vir b,61 Vir,Radial Velocity,2009,Multiple Observatories,Multiple Telescopes,4.21500000,0.050201,2.110,5.10000,2.980000,0.120000,,G5 V,5577.00,0.96,0.94,-0.095,1.44933,13h18m23.15s,199.5964550,-18d18m56.79s,-18.3157745,8.5033200,4.6955000
61 Vir c,61 Vir,Radial Velocity,2009,Multiple Observatories,Multiple Telescopes,38.02100000,0.217500,4.460,18.20000,1.130000,0.140000,,G5 V,5577.00,0.96,0.94,-0.095,1.44933,13h18m23.15s,199.5964550,-18d18m56.79s,-18.3157745,8.5033200,4.6955000
61 Vir d,61 Vir,Radial Velocity,2009,Multiple Observatories,Multiple Telescopes,123.01000000,0.476000,5.110,22.90000,0.943000,0.350000,,G5 V,5577.00,0.96,0.94,-0.095,1.44933,13h18m23.15s,199.5964550,-18d18m56.79s,-18.3157745,8.5033200,4.6955000
7 CMa b,7 CMa,Radial Velocity,2011,Anglo-Australian Telescope,3.9 m Anglo-Australian Telescope,735.10000000,1.758000,13.400,587.98550,1.340000,0.060000,90.000,K1 III,4826.00,4.87,1.34,1.063,,06h36m41.11s,99.1712760,-19d15m22.25s,-19.2561808,19.8101000,3.9500000
7 CMa c,7 CMa,Radial Velocity,2019,Multiple Observatories,Multiple Telescopes,996.00000000,2.153000,13.900,276.51210,0.566000,0.080000,90.000,K1III(+M),4826.00,4.87,1.34,1.063,,06h36m41.11s,99.1712760,-19d15m22.25s,-19.2561808,19.8101000,3.9500000
70 Vir b,70 Vir,Radial Velocity,1996,Lick Observatory,3.0 m C. Donald Shane Telescope,116.68800000,0.481000,12.600,2380.45000,6.540000,0.398800,,G5V,5495.00,1.89,1.09,0.451,0.19024,13h28m25.56s,202.1064898,+13d46m34.71s,13.7763085,17.9011000,4.9680800
75 Cet b,75 Cet,Radial Velocity,2012,Okayama Astrophysical Observatory,1.88 m Telescope,696.62000000,1.912000,13.300,787.89662,1.840000,0.093000,,G3 III,4809.00,10.38,1.92,1.714,,02h32m09.40s,38.0391598,-01d02m06.10s,-1.0350269,82.9613000,5.3532000
75 Cet c,75 Cet,Radial Velocity,2023,Okayama Astrophysical Observatory,1.88 m Telescope,2051.62000000,3.929000,13.900,289.85951,0.593000,0.023000,,G3 III,4809.00,10.38,1.92,1.714,,02h32m09.40s,38.0391598,-01d02m06.10s,-1.0350269,82.9613000,5.3532000
8 UMi b,8 UMi,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory,1.8 m Telescope,93.40000000,0.490000,13.600,416.35730,0.910000,0.060000,,K0,4847.00,10.30,1.44,1.725,,14h56m48.40s,224.2016850,+74d54m03.38s,74.9009379,162.5520000,6.8329500
81 Cet b,81 Cet,Radial Velocity,2008,Okayama Astrophysical Observatory,1.88 m Telescope,1005.57000000,2.104000,13.100,1051.05854,2.570000,0.037000,,G5 III,4734.00,11.21,1.23,1.760,,02h37m41.85s,39.4243555,-03d23m46.90s,-3.3963607,101.2600000,5.6430700
91 Aqr b,91 Aqr,Radial Velocity,2013,Lick Observatory,0.6 m Coude Auxiliary Telescope,181.40000000,0.700000,13.100,1017.00000,2.490000,0.027000,,K0 III,4665.00,11.00,1.40,1.692,,23h15m53.88s,348.9745031,-09d05m16.11s,-9.0878076,44.0304000,4.2394600
AB Aur b,AB Aur,Imaging,2022,Subaru Telescope,8.2 m Subaru Telescope,,93.900000,12.500,2860.45566,8.050000,0.400000,42.600,,9770.00,2.96,2.40,1.771,0.10330,04h55m45.85s,73.9410446,+30d33m03.92s,30.5510888,162.1270000,7.0760000
AB Pic b,AB Pic,Imaging,2005,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,,260.000000,12.300,4290.50000,12.700000,,,K2 V,5285.00,1.00,0.90,-0.226,1.12014,06h19m12.94s,94.8039208,-58d03m14.83s,-58.0541184,50.0475000,9.1300000
AF Lep b,AF Lep,Imaging,2023,Paranal Observatory,8.2 m ESO VLT UT3 Melipal Telescope,8030.00000000,8.400000,13.100,1017.05090,2.490000,0.240000,50.000,F8 V,6130.00,1.25,1.20,0.290,1.45415,05h27m04.78s,81.7699216,-11d54m04.23s,-11.9011752,26.8564000,6.3320000
AU Mic b,AU Mic,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,8.46299910,0.064500,3.957,20.12000,1.320000,0.186000,89.500,M1,3665.00,0.82,0.50,-0.990,1.75000,20h45m09.87s,311.2911369,-31d20m32.82s,-31.3424500,9.7221000,8.8100000
AU Mic c,AU Mic,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,18.85899100,0.110100,3.240,9.60000,1.220000,0.003380,89.227,M1,3665.00,0.82,0.50,-0.990,1.75000,20h45m09.87s,311.2911369,-31d20m32.82s,-31.3424500,9.7221000,8.8100000
AU Mic d,AU Mic,Transit Timing Variations,2023,Multiple Observatories,Multiple Telescopes,12.73596000,,1.020,1.05300,5.450000,0.003050,89.318,M1,3678.00,0.74,0.51,-1.038,1.75000,20h45m09.87s,311.2911369,-31d20m32.82s,-31.3424500,9.7221000,8.8100000
BD+03 2562 b,BD+03 2562,Radial Velocity,2017,Multiple Observatories,Multiple Telescopes,481.90000000,1.300000,12.700,2034.11200,5.460000,0.200000,,,4095.00,32.35,1.14,2.700,,11h50m15.53s,177.5647268,+02d45m36.39s,2.7601075,1070.6300000,9.5770000
BD+14 4559 b,BD+14 4559,Radial Velocity,2009,McDonald Observatory,9.2 m Hobby-Eberly Telescope,268.94000000,0.780000,13.800,330.54320,0.691000,0.290000,,K2 V,4864.00,0.86,0.49,-0.320,1.73113,21h13m36.24s,318.4010002,+14d41m21.78s,14.6893834,49.3520000,9.7800000
BD+15 2375 b,BD+15 2375,Radial Velocity,2016,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo,153.22000000,0.576000,13.800,337.21763,0.705000,0.001000,,G5,4649.00,8.95,1.08,1.570,,11h45m55.69s,176.4820239,+14d36m58.75s,14.6163182,768.0450000,10.4100000
BD+15 2940 b,BD+15 2940,Radial Velocity,2013,McDonald Observatory,9.2 m Hobby-Eberly Telescope,137.48000000,0.539000,13.700,352.78000,0.754000,0.260000,,K0,4796.00,14.70,1.10,2.010,,16h00m22.95s,240.0956400,+15d32m48.30s,15.5467507,426.4200000,9.0100000
BD+20 2457 b,BD+20 2457,Radial Velocity,2009,McDonald Observatory,9.2 m Hobby-Eberly Telescope,379.63000000,1.450000,12.100,6807.63000,21.100000,0.150000,,K2 II,4137.00,49.00,2.80,3.170,,10h16m44.83s,154.1867820,+19d53m28.55s,19.8912626,1539.7100000,9.7430000
BD+20 2457 c,BD+20 2457,Radial Velocity,2009,McDonald Observatory,9.2 m Hobby-Eberly Telescope,621.99000000,2.010000,12.400,3963.17000,11.400000,0.180000,,K2 II,4137.00,49.00,2.80,3.170,,10h16m44.83s,154.1867820,+19d53m28.55s,19.8912626,1539.7100000,9.7430000
BD+20 274 b,BD+20 274,Radial Velocity,2012,McDonald Observatory,9.2 m Hobby-Eberly Telescope,578.20000000,1.300000,13.000,1334.88600,3.340000,0.210000,,K5 III,4296.00,17.30,0.80,1.960,,01h43m40.88s,25.9203179,+21d00m18.97s,21.0052692,1322.5100000,9.3670000
BD+20 594 b,BD+20 594,Transit,2016,K2,0.95 m Kepler Telescope,41.68550000,0.241000,2.578,22.24810,7.890000,0.000000,89.550,G,5766.00,1.08,1.67,-0.056,1.89000,03h34m36.27s,53.6511231,+20d35m56.47s,20.5990205,179.4610000,10.8490000
BD+45 564 b,BD+45 564,Radial Velocity,2021,Haute-Provence Observatory,1.93 m Telescope,307.88000000,0.830000,13.600,432.24663,0.944000,0.120000,2.579,K1,5004.00,0.81,0.81,-0.399,2.22951,02h11m47.29s,32.9470485,+45d55m27.19s,45.9242187,53.6220000,9.6700000
BD+48 738 b,BD+48 738,Radial Velocity,2011,McDonald Observatory,9.2 m Hobby-Eberly Telescope,392.60000000,1.000000,13.900,289.22530,0.592000,0.200000,,K0 III,4414.00,11.00,0.74,1.690,,02h42m50.47s,40.7102869,+49d35m12.98s,49.5869395,871.4930000,9.1390000
BD+48 740 b,BD+48 740,Radial Velocity,2018,Multiple Observatories,Multiple Telescopes,733.00000000,1.700000,13.500,540.31100,1.210000,0.760000,,K3 III,4534.00,10.33,1.09,1.640,,02h42m58.21s,40.7425426,+48d55m48.21s,48.9300579,666.5890000,8.6900000
BD+49 828 b,BD+49 828,Radial Velocity,2015,McDonald Observatory,9.2 m Hobby-Eberly Telescope,2590.00000000,4.200000,13.500,508.50000,1.140000,0.350000,,K0,4943.00,7.60,1.52,1.470,,03h02m33.75s,45.6406187,+49d43m47.81s,49.7299481,442.0420000,9.3810000
BD+55 362 b,BD+55 362,Radial Velocity,2021,Haute-Provence Observatory,1.93 m Telescope,265.59000000,0.780000,14.000,228.83645,0.458000,0.270000,0.601,K3,5012.00,0.90,0.91,-0.313,1.66486,01h35m51.28s,23.9636676,+56d41m53.62s,56.6982282,52.5697000,9.3800000
BD+60 1417 b,BD+60 1417,Imaging,2021,Wide-field Infrared Survey Explorer (WISE) Sat,0.4 m Telescope,,1662.000000,14.684,4767.42610,8.270000,,,K0,4993.00,0.80,1.00,0.356,2.30875,12h43m33.01s,190.8875453,+60d00m51.71s,60.0143636,44.9543000,9.3740000
BD+63 1405 b,BD+63 1405,Radial Velocity,2021,Haute-Provence Observatory,1.93 m Telescope,1198.48000000,2.060000,12.400,3305.41543,9.530000,0.880000,5.974,K0,5000.00,0.80,0.82,-0.413,2.29955,18h05m35.50s,271.3979337,+63d40m12.02s,63.6700064,38.0473000,8.9600000
BD-06 1339 b,BD-06 1339,Radial Velocity,2013,La Silla Observatory,3.6 m ESO Telescope,3.87280000,0.042800,2.850,8.50000,2.020000,0.000000,,K7/M0 V,4324.00,0.69,0.70,-1.022,2.74700,05h53m00.28s,88.2511811,-05d59m46.82s,-5.9963378,20.2695000,9.7000000
BD-06 1339 c,BD-06 1339,Radial Velocity,2013,La Silla Observatory,3.6 m ESO Telescope,125.94000000,0.435000,8.380,53.00000,0.495000,0.310000,,K7/M0 V,4324.00,0.69,0.70,-1.022,2.74700,05h53m00.28s,88.2511811,-05d59m46.82s,-5.9963378,20.2695000,9.7000000
BD-08 2823 b,BD-08 2823,Radial Velocity,2009,La Silla Observatory,3.6 m ESO Telescope,5.60000000,0.060000,3.610,12.71320,1.480000,0.150000,,K3 V,4816.00,0.71,0.50,-0.626,3.31801,10h00m47.33s,150.1971964,-09d30m59.65s,-9.5165689,41.3342000,9.8600000
BD-08 2823 c,BD-08 2823,Radial Velocity,2009,La Silla Observatory,3.6 m ESO Telescope,237.60000000,0.680000,12.500,104.00000,0.293000,0.190000,,K3 V,4746.00,0.72,0.74,-0.626,3.31801,10h00m47.33s,150.1971964,-09d30m59.65s,-9.5165689,41.3342000,9.8600000
BD-10 3166 b,BD-10 3166,Radial Velocity,2000,W. M. Keck Observatory,10 m Keck I Telescope,3.48777000,0.040000,14.100,187.51970,0.368000,0.020000,,K0 V,5393.00,0.91,1.47,-0.191,1.53276,10h58m28.59s,164.6191243,-10d46m13.52s,-10.7704227,84.4069000,10.0130000
BD-11 4672 b,BD-11 4672,Radial Velocity,2014,La Silla Observatory,3.6 m ESO Telescope,1634.00000000,2.360000,14.100,206.58950,0.405000,0.050000,,K7 V,4550.00,0.64,0.65,-0.804,3.53000,18h33m28.53s,278.3688659,-11d38m13.37s,-11.6370481,27.1665000,10.0300000
BD-11 4672 c,BD-11 4672,Radial Velocity,2020,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo,74.20000000,0.300000,4.040,15.37000,1.280000,0.400000,,K7V,4550.00,0.64,0.65,-0.804,3.53000,18h33m28.53s,278.3688659,-11d38m13.37s,-11.6370481,27.1665000,10.0300000
BD-13 2130 b,BD-13 2130,Radial Velocity,2007,La Silla Observatory,1.2 m Leonhard Euler Telescope,714.29999000,1.660000,12.500,3108.37740,8.750000,0.210000,,G5 IV/V,4545.00,19.17,2.12,2.043,,07h37m09.23s,114.2884692,-13d54m24.01s,-13.9066703,925.2140000,10.0380000
BD-14 3065 b,BD-14 3065 A,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,4.28897310,0.065600,21.590,3932.00000,2.150000,0.066000,80.780,,6935.00,2.35,1.41,1.060,0.22300,10h14m40.72s,153.6696689,-15d38m34.21s,-15.6428372,589.4230000,11.1000000
BD-17 63 b,BD-17 63,Radial Velocity,2008,La Silla Observatory,3.6 m ESO Telescope,655.57000000,1.340000,12.800,1639.99458,4.300000,0.543900,80.000,K5 V,4714.00,0.74,0.74,-0.678,2.75844,00h28m33.92s,7.1413494,-16d13m38.37s,-16.2273254,34.4603000,9.6200000
